command,products
ipv6 address eui-64,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 address link-local,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 default-gateway,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ipv6 dhcp client information refresh,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 dhcp client information refresh minimum,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 dhcp duid-en,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 dhcp guard,"['cbs_350', 'cat_1300']"
ipv6 dhcp guard attach-policy (VLAN mode),"['cbs_350', 'cat_1300']"
ipv6 dhcp guard attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 dhcp guard policy,"['cbs_350', 'cat_1300']"
ipv6 dhcp guard preference,"['cbs_350', 'cat_1300']"
ipv6 dhcp relay destination (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
